中国成人2型糖尿病胰岛素促泌剂应用的专家共识	O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
现认为长期应用二甲双胍后HbA1c可有1%~2%的降低也可一定程度上降低体重	O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O
但TODAY(treatmentoptionsfortype2diabelesinadolescentsandyouth)研究表明仅一半的2型糖尿病患儿通过二甲双胍单药治疗达到持久血糖控制且其有效性可持续<18个月	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
二甲双胍单用基本无低血糖的风险产生乳酸酸中毒的风险也极低	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O
但在肝肾功能不全如肝酶升高3倍以上严重感染重大手术或放射检查使用碘化造影剂时禁用	O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Level;E-Level;B-Disease;E-Disease;O;O;O;O;O;B-Test;I-Test;I-Test;E-Test;O;O;O;O;O;O;O;O;O;O
在用二甲双胍治疗的患者尤其伴有贫血或周围神经病变的患者应该考虑定期监测维生素B12的水平	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;B-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O
(2)胰岛素	O;O;O;B-Drug;I-Drug;E-Drug
胰岛素可快速改善代谢异常并能保护胰岛β细胞功能	B-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O
用于随机血糖>13.9mmol/L和(或)bA1c>9%糖尿病酮症酸中毒或代谢不稳定的患儿	O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;E-Test_Value;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O
1天1次中性鱼精蛋白锌胰岛素或基础胰岛素(0.25~0.5U/kg起)往往已能有效控制代谢异常	B-Frequency;I-Frequency;I-Frequency;E-Frequency;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease
如果二甲双胍和基础量胰岛素(最高至1.2U/kg)联用仍不能达到目标需要逐渐加用餐前胰岛素直到血糖正常	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Test_items;E-Test_items;B-Test_Value;E-Test_Value
疗效	O;O
胰岛素控制血糖起效快疗效肯定	B-Drug;I-Drug;E-Drug;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O
但据统计90%的青少年2型糖尿病患儿在起始治疗时单用二甲双胍即可控制病情	O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O
注意事项	O;O;O;O
如果经过以上治疗血糖仍然不能控制要重新考虑2型糖尿病的诊断或者加强生活方式的改变	O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment
胰岛素的不良反应主要是低血糖也要注意体重增加的风险	B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;B-ADE;I-ADE;I-ADE;E-ADE;O;O;O
值得注意的是由于2型糖尿病是一种进行性疾病大多数患者最终仍需要胰岛素治疗	O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O
除此以外其他药物包括DPP-4抑制剂GLP-受体激动剂和SGLT2抑制剂等尽管已用于成人但尚未被FDA批准用于儿童暂时不推荐应用	O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
5.血糖监测及控制目标	O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O
2型糖尿病自身血糖监测频次对血糖控制的影响虽弱于1型糖尿病但是仍不可缺少	B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O
如果使用胰岛素一定要注意无症状低血糖的检测	O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O
6.代谢手术	O;O;B-Operation;I-Operation;I-Operation;E-Operation
儿童患者代谢手术的研究相对有限	O;O;O;O;B-Operation;I-Operation;I-Operation;E-Operation;O;O;O;O;O;O;O
根据国际儿科内分泌手术协会(InternationalPediatricEndosurgeryGroup)指南对于接近成人身高的青少年体质指数(BMI)>40kg/m或BMI>35kg/m并有严重并发症者方考虑手术干预	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
一项针对严重肥胖青少年的代谢手术指南指出代谢手术应在发育阶段Tanner4-5期接近成人身高男孩>15岁女孩>13岁方可进行	O;O;O;O;B-Level;E-Level;B-Disease;E-Disease;O;O;O;O;B-Operation;I-Operation;I-Operation;E-Operation;O;O;O;O;B-Operation;I-Operation;I-Operation;E-Operation;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
新西兰一项研究报告18岁以下肥胖青少年两种术式的代谢手术后BMI分别降低11.6kg/m2和16.6kg/m2	O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;E-Disease;O;O;O;O;O;O;O;O;B-Operation;I-Operation;I-Operation;E-Operation;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
美国5家儿童中心联合研究(Teen-LABSstudy)表明242例平均BMI为53kg/m2的2型糖尿病患儿手术后95%2型糖尿病及合并症病情都有好转同时也能更快达到HbA1c控制目标.传统的Roux-en-Y胃旁路术安全性较差胃束带和袖管胃切除术等较新的手术较为安全但对儿童患者还是不推荐常规应用	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;B-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;E-Operation;O;O;O;O;O;B-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;I-Operation;E-Operation;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
代谢手术应该在具有多学科团队的有治疗糖尿病和胃肠外科验的大医院进行手术后仍要坚持生活方式的干预	B-Operation;I-Operation;I-Operation;E-Operation;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment
与1型糖尿病不同2型糖尿病一经诊断就要进行相关并发症合并症的评估	O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
一常见并发症	O;O;O;O;O;O
2.高血压	O;O;B-Disease;I-Disease;E-Disease
高血压的定义为平均收缩压或舒张压大于同年龄性别和身高血压值的第95百分位数若第95百分位数高于130/80mmHg(17.3/10.6kPa1mmHg0.133kPa)则标准为>130/80mmHg(17.3/10.6kPa)	B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
高血压应该非同日复测3次血压证实	B-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O
如为90~95百分位数则为正常高限血压	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
TODAY研究发现在633例平均病程7个月的2型糖尿病青少年患者中13.6%存在高血压当随访至3.9年时这一比例上升到33.8%	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
高血压的起始治疗包括减轻体重低盐饮食加强锻炼	B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;E-Treatment;B-Treatment;I-Treatment;I-Treatment;E-Treatment;B-Treatment;I-Treatment;I-Treatment;E-Treatment
如果单药应用不能维持血压正常可能需要联合用药	O;O;O;O;O;O;O;O;O;O;B-Test;E-Test;B-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O
	
3.脂代谢异常	O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease
糖尿病患者血脂目标水平为低密度脂蛋白<2.6mmol/L(100mg/dl)高密度脂蛋白>0.91mmol/L.(35mg/dl)甘油三酯<1.7mmol/L(150mg/dl)	B-Disease;I-Disease;E-Disease;O;O;B-Test_items;E-Test_items;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O
如果LDL水平过高应尽可能控制血糖并进行饮食控制(饮食胆固醇<200mg/d饱和脂肪占总热卡<7%脂肪占总热卡<30%)6个月内进行空腹血脂复查	O;O;B-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;E-Test_Value;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O
10岁以上患者如在医学营养治疗和生活方式改变后低密度脂蛋白>4.1mmol/L(160mg/dl)或>3.4mmol/L(130mg/dl)伴1个或多个心血管病危险因素时可加用他汀类药物理想状态应低于2.6mmol/L(100mg/dl)	O;O;O;O;O;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O
甘油三酯	B-Test_items;I-Test_items;I-Test_items;E-Test_items
如空腹>4.5mmol/L(400mg/dl)或非空腹>11.3mmol/L(1000mg/dl)即可开始药物治疗以达到空腹<4.5mmol/L(400mg/dl)的目标	O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;B-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O
苯氧芳酸类为治疗高甘油三酯血症的首选药物目前显示是安全有效的但对儿童患者仍需谨慎使用	B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
随访频次应该在进行一次全面的眼科检查后由眼科专家推荐	O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test;I-Test;I-Test;E-Test;O;O;O;O;O;O;O;O
5.神经病变	O;O;B-Disease;I-Disease;I-Disease;E-Disease
如果临床特征典型一般不需要进行电生理学检查或转诊给神经科专家	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;O;O;O;O;O;O
严格控制糖尿病病情有助于改善神经病变疼痛明显时可以采用镇痛剂对症治疗	O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;B-Symptom;E-Symptom;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O
同时应该筛查心血管自主神经病变的症状和体征但由于不影响治疗或预后一般不需特殊辅助检查	O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
6.非酒精性脂肪肝病(NAFLD)	O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease
2型糖尿病患儿25%~50%合并有NAFLD故糖尿病一经诊断即需对此相应评估包括肝脏B超或磁共振肝脏脂肪定量等以后每年1次	B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test;I-Test;I-Test;E-Test;O;B-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;I-Test;E-Test;O;O;O;O;O;O;O
对于有胰岛素抵抗的患儿控制体重及口服二甲双胍均能降低肝酶改善NAFLD	O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;O;O;O;O;O;O;O;B-Method;E-Method;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Test_items;E-Test_items;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease
护肝药虽可用于肝功能损伤但对于2型糖尿病合并NAFLD的青少年最佳方法还是改善胰岛素抵抗	O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis
如果在控制体重和糖尿病治疗下肝酶仍持续升高则需考虑肝脏活检	O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;B-Test_items;E-Test_items;O;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;B-Test;I-Test;I-Test;E-Test
7.PCOS	O;O;B-Disease;I-Disease;I-Disease;E-Disease
目前倾向于认为PCOS也是胰岛素抵抗综合征的一部分	O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O
2型糖尿病的女孩自诊断起每次随访中都应详细询问月经史如果存在原发性或继发性闭经多毛及严重痤疮需考虑PCOS的存在	B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;E-Disease;O;B-Level;E-Level;B-Disease;E-Disease;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O
PCOS的诊断需基于月经稀少或停经同时有高雄激素血症的临床或生化表现可以合并或不合并多囊卵巢	B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Symptom;I-Symptom;I-Symptom;E-Symptom;O;B-Symptom;E-Symptom;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease
控制体重改善胰岛素抵抗体育锻炼口服二甲双胍均能改善卵巢功能提高日后生育率	B-Treatment;I-Treatment;I-Treatment;E-Treatment;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;B-Treatment;I-Treatment;I-Treatment;E-Treatment;B-Method;E-Method;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
	
还需在患儿初诊和随访中筛查阻塞性睡眠呼吸暂停吸烟和饮酒情况等	O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O
	
从儿科到成人治疗的过渡	O;O;O;O;O;O;O;O;O;O;O
2型糖尿病青少年过渡到成人期间医疗卫生人员和家人必须结合他们的特点从青少年早中期即开始至少在过渡前1年做好转诊准备	B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
儿科医师和成人医疗卫生人员应为青少年和刚成年的患者提供支持和相关的资源	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
在分型上糖尿病家族史自身抗体胰岛素和C肽释放试验等均可帮助诊断	O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_items;I-Test_items;E-Test_items;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O
治疗首先要改变生活方式包括饮食运动等	O;O;O;O;O;B-Treatment;I-Treatment;I-Treatment;I-Treatment;I-Treatment;E-Treatment;O;O;B-Treatment;E-Treatment;B-Treatment;E-Treatment;O
不同于1型糖尿病的是2型糖尿病在诊断伊始就要进行并发症和合并症的评估包括肾病高血压脂代谢异常视网膜病变NAFLDPCOS神经病变阻塞性睡眠呼吸暂停等	O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;E-Disease;B-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O
诊断之后要定期复查血脂肝酶尿白蛋白/肌酐比值监测血压眼底检查等	O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;B-Test_items;E-Test_items;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test;I-Test;I-Test;E-Test;B-Test;I-Test;I-Test;E-Test;O
儿童青少年2型糖尿病诊治专家共识尚需在我国更多的临床实践中不断完善并逐步建立指南	O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
在应用表1指标时要注意临床上1型糖尿病和2型糖尿病有时仍然较难鉴别究其原因包括	O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O
(1)肥胖多为2型糖尿病的特点但儿童肥胖发病率增加导致新诊断的1型糖尿病也有30%合并肥胖	O;O;O;B-Disease;E-Disease;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Disease;E-Disease
(2)2型糖尿病诊断时如在急性期不少也可合并代谢紊乱包括酮症或酮症酸中毒	O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease
(4)胰岛素及C肽释放试验的局限性	O;O;O;B-Test_items;I-Test_items;E-Test_items;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O
